table_type,table_no,effective_date,trading_date,code,currency_name_pl,mid,bid,ask
A,001/A/NBP/2026,2026-01-02,,AUD,dolar australijski,2.4092,,
A,001/A/NBP/2026,2026-01-02,,BRL,real (Brazylia),0.6565,,
A,001/A/NBP/2026,2026-01-02,,CAD,dolar kanadyjski,2.6212,,
A,001/A/NBP/2026,2026-01-02,,CHF,frank szwajcarski,4.5314,,
A,001/A/NBP/2026,2026-01-02,,CLP,peso chilijskie,0.003996,,
A,001/A/NBP/2026,2026-01-02,,CNY,yuan renminbi (Chiny),0.514,,
A,001/A/NBP/2026,2026-01-02,,CZK,korona czeska,0.1743,,
A,001/A/NBP/2026,2026-01-02,,DKK,korona duńska,0.5644,,
A,001/A/NBP/2026,2026-01-02,,EUR,euro,4.2156,,
A,001/A/NBP/2026,2026-01-02,,GBP,funt szterling,4.8391,,
A,001/A/NBP/2026,2026-01-02,,HKD,dolar Hongkongu,0.4615,,
A,001/A/NBP/2026,2026-01-02,,HUF,forint (Węgry),0.010987,,
A,001/A/NBP/2026,2026-01-02,,IDR,rupia indonezyjska,0.00021509,,
A,001/A/NBP/2026,2026-01-02,,ILS,nowy izraelski szekel,1.1325,,
A,001/A/NBP/2026,2026-01-02,,INR,rupia indyjska,0.039874,,
A,001/A/NBP/2026,2026-01-02,,ISK,korona islandzka,0.028639,,
A,001/A/NBP/2026,2026-01-02,,JPY,jen (Japonia),0.02292,,
A,001/A/NBP/2026,2026-01-02,,KRW,won południowokoreański,0.002488,,
A,001/A/NBP/2026,2026-01-02,,MXN,peso meksykańskie,0.2005,,
A,001/A/NBP/2026,2026-01-02,,MYR,ringgit (Malezja),0.8871,,
A,001/A/NBP/2026,2026-01-02,,NOK,korona norweska,0.357,,
A,001/A/NBP/2026,2026-01-02,,NZD,dolar nowozelandzki,2.075,,
A,001/A/NBP/2026,2026-01-02,,PHP,peso filipińskie,0.0611,,
A,001/A/NBP/2026,2026-01-02,,RON,lej rumuński,0.827,,
A,001/A/NBP/2026,2026-01-02,,SEK,korona szwedzka,0.3896,,
A,001/A/NBP/2026,2026-01-02,,SGD,dolar singapurski,2.7966,,
A,001/A/NBP/2026,2026-01-02,,THB,bat (Tajlandia),0.1145,,
A,001/A/NBP/2026,2026-01-02,,TRY,lira turecka,0.0835,,
A,001/A/NBP/2026,2026-01-02,,UAH,hrywna (Ukraina),0.085,,
A,001/A/NBP/2026,2026-01-02,,USD,dolar amerykański,3.5963,,
A,001/A/NBP/2026,2026-01-02,,XDR,SDR (MFW),4.9562,,
A,001/A/NBP/2026,2026-01-02,,ZAR,rand (Republika Południowej Afryki),0.2175,,
C,001/C/NBP/2026,2026-01-02,2025-12-31,AUD,dolar australijski,,2.383,2.4312
C,001/C/NBP/2026,2026-01-02,2025-12-31,CAD,dolar kanadyjski,,2.6025,2.6551
C,001/C/NBP/2026,2026-01-02,2025-12-31,CHF,frank szwajcarski,,4.4936,4.5844
C,001/C/NBP/2026,2026-01-02,2025-12-31,CZK,korona czeska,,0.1729,0.1763
C,001/C/NBP/2026,2026-01-02,2025-12-31,DKK,korona duńska,,0.5602,0.5716
C,001/C/NBP/2026,2026-01-02,2025-12-31,EUR,euro,,4.1844,4.269
C,001/C/NBP/2026,2026-01-02,2025-12-31,GBP,funt szterling,,4.7915,4.8883
C,001/C/NBP/2026,2026-01-02,2025-12-31,HUF,forint (Węgry),,0.010858,0.011078
C,001/C/NBP/2026,2026-01-02,2025-12-31,JPY,jen (Japonia),,0.022764,0.023224
C,001/C/NBP/2026,2026-01-02,2025-12-31,NOK,korona norweska,,0.3541,0.3613
C,001/C/NBP/2026,2026-01-02,2025-12-31,SEK,korona szwedzka,,0.3869,0.3947
C,001/C/NBP/2026,2026-01-02,2025-12-31,USD,dolar amerykański,,3.5656,3.6376
C,001/C/NBP/2026,2026-01-02,2025-12-31,XDR,SDR (MFW),,4.9196,5.019
A,002/A/NBP/2026,2026-01-05,,AUD,dolar australijski,2.4062,,
A,002/A/NBP/2026,2026-01-05,,BRL,real (Brazylia),0.6647,,
A,002/A/NBP/2026,2026-01-05,,CAD,dolar kanadyjski,2.6163,,
A,002/A/NBP/2026,2026-01-05,,CHF,frank szwajcarski,4.5263,,
A,002/A/NBP/2026,2026-01-05,,CLP,peso chilijskie,0.003978,,
A,002/A/NBP/2026,2026-01-05,,CNY,yuan renminbi (Chiny),0.5161,,
A,002/A/NBP/2026,2026-01-05,,CZK,korona czeska,0.1742,,
A,002/A/NBP/2026,2026-01-05,,DKK,korona duńska,0.5637,,
A,002/A/NBP/2026,2026-01-05,,EUR,euro,4.211,,
A,002/A/NBP/2026,2026-01-05,,GBP,funt szterling,4.8458,,
A,002/A/NBP/2026,2026-01-05,,HKD,dolar Hongkongu,0.4629,,
A,002/A/NBP/2026,2026-01-05,,HUF,forint (Węgry),0.010955,,
A,002/A/NBP/2026,2026-01-05,,IDR,rupia indonezyjska,0.00021532,,
A,002/A/NBP/2026,2026-01-05,,ILS,nowy izraelski szekel,1.1346,,
A,002/A/NBP/2026,2026-01-05,,INR,rupia indyjska,0.039925,,
A,002/A/NBP/2026,2026-01-05,,ISK,korona islandzka,0.028569,,
A,002/A/NBP/2026,2026-01-05,,JPY,jen (Japonia),0.022969,,
